FID IID V1
755 755 0.345339467310261
757 757 -0.728014070385091
758 758 2.18354150818789
759 759 -0.272705656249329
762 762 0.141312042959565
764 764 -1.17882262681309
767 767 -1.41748799979023
784 784 1.2075356512372
786 786 -0.18655769543612
787 787 -0.235502869003586
788 788 0.705022352174311
793 793 0.0166155435468422
794 794 0.382286799858794
797 797 0.399950980581583
800 800 0.507111137432202
804 804 0.964811455901959
807 807 0.0510025462501461
810 810 0.835161671842467
813 813 1.8642554730464
815 815 -0.154181022721825
822 822 -0.345660232184947
825 825 0.628285227965431
829 829 -0.258308790035449
832 832 1.30198958893993
833 833 0.036962149361115
841 841 -0.749410314217646
843 843 -0.0175941628664553
849 849 0.644391070514326
851 851 0.198245175975822
852 852 1.14005198070751
856 856 -0.362201136691407
861 861 1.22723348054477
862 862 -0.738158770002018
865 865 2.11735087036562
867 867 -0.904295544810682
872 872 2.04715773889004
875 875 0.320296044757197
877 877 -1.17444552211126
881 881 -0.308052165945194
885 885 -0.110769536086824
887 887 -0.258110911437013
889 889 -0.688783602223803
892 892 1.40071446047767
896 896 -1.53469503741346
900 900 -0.209844426413867
910 910 0.0525171866604526
913 913 -0.812096799151849
916 916 0.312855011841587
918 918 0.0845032357333274
919 919 1.68300033905025
920 920 0.0236273006457772
924 924 -0.417863081060395
933 933 1.25047095421844
934 934 1.48985929934469
943 943 0.423088786480996
947 947 0.703690981067391
948 948 0.922079828228441
949 949 0.857186960003456
952 952 0.356888145662125
954 954 0.867450847161985
968 968 0.757335596745155
970 970 -0.590482415433502
971 971 0.913776967778193
977 977 0.67648054133492
979 979 -0.948188325802084
980 980 0.0182467357219818
983 983 -0.554640494483164
985 985 -0.618084194213593
987 987 -1.15370718563394
990 990 0.150305741304555
991 991 -1.72136709615208
992 992 0.585368749307726
993 993 1.89371881430278
995 995 -0.175583996515272
1001 1001 -0.274521444647691
1006 1006 0.973034925794705
1007 1007 -0.477245318480549
1008 1008 0.265162366784224
1013 1013 0.562166817356732
1017 1017 -1.2757937728228
1023 1023 1.61826702787518
1025 1025 -0.429727973864013
1026 1026 -1.35192681637915
1028 1028 0.313955658208354
1034 1034 -0.241402104642202
1035 1035 0.987165745888026
1037 1037 0.635252467523805
1042 1042 -0.149386737174204
1044 1044 -1.07015449521693
1047 1047 -1.00884061018934
1051 1051 -0.80334389988774
1058 1058 0.48763570150732
1059 1059 -1.21895084191457
1060 1060 1.45424369705779
1061 1061 -0.0463610648490686
1062 1062 -0.915262602214589
1063 1063 0.569315938943306
1064 1064 -0.0744106001358375
1065 1065 -1.6267039771888
1067 1067 0.762786607300713
1071 1071 -0.492487131356388
1072 1072 -0.0385566721129885
1073 1073 -0.896873011786022
1074 1074 0.0385623247665658
1076 1076 1.44931413838726
1077 1077 0.838699216049345
1079 1079 1.03767484383618
1080 1080 1.741950186554
1082 1082 0.751299861566696
1083 1083 -1.36637062693171
1089 1089 1.72281114255611
1092 1092 1.64491870489039
1093 1093 -0.203466874168789
1094 1094 2.50697968217613
1097 1097 0.181728103025825
1098 1098 0.314922800578928
1103 1103 -2.21366130587037
1106 1106 -1.13579302556899
1108 1108 -0.727399613767843
1109 1109 -0.375826838245261
